City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Guadalupe Victoria,MX,72.12,clear sky,32.2869,-115.105,Hotel Dial
623,Lujan,AR,75.97,overcast clouds,-34.5703,-59.105,Hotel Biarritz
624,Merauke,ID,80.42,overcast clouds,-8.4667,140.3333,
625,Saposoa,PE,84.81,overcast clouds,-6.934,-76.7716,Hostal Primavera
628,Sao Felix Do Xingu,BR,70.7,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
631,Santa Rita,BR,79.47,scattered clouds,-7.1139,-34.9781,Infinity Motel
635,Young,UY,73.81,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
640,Taguisa,PH,80.78,overcast clouds,6.6983,124.0358,
641,Marsabit,KE,70.99,broken clouds,2.3284,37.9899,Chicho Hotel
643,Am Timan,TD,72.19,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
647,Waingapu,ID,85.39,few clouds,-9.6567,120.2641,Pondok Wisata Elim
648,Sechura,PE,73.58,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
652,Itarema,BR,78.89,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
654,Artigas,UY,78.21,clear sky,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
656,Poum,NC,80.96,overcast clouds,-20.2333,164.0167,
661,Caravelas,BR,77.54,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
669,Quatre Cocos,MU,81.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
682,Biak,ID,79.57,light rain,-0.9131,122.8766,Penginapan Kim
683,Bani,DO,73.74,few clouds,18.2833,-70.3333,Hospedaje Henriquez
