City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
190,Srednekolymsk,67.45,153.6833,-31.04,97,100,2.51,RU,overcast clouds
191,Kalabo,-14.97,22.6814,66.65,96,100,4.47,ZM,light rain
192,Sitka,57.0531,-135.33,39.09,87,75,0.0,US,light rain
193,Veinticinco De Mayo,-35.4323,-60.1727,68.05,88,100,9.6,AR,moderate rain
194,Tarakan,3.3,117.6333,80.1,83,75,0.0,ID,light rain
195,Mao,39.8885,4.2658,52.36,66,0,21.85,ES,clear sky
196,Nizhneangarsk,55.7833,109.55,-3.96,83,19,2.46,RU,few clouds
197,Hengshui,37.7322,115.7011,34.39,26,0,5.03,CN,clear sky
198,Mount Isa,-20.7333,139.5,91.17,38,0,6.91,AU,clear sky
199,Grand Gaube,-20.0064,57.6608,81.37,79,100,15.01,MU,overcast clouds
200,Castro,-24.7911,-50.0119,59.59,88,17,3.04,BR,few clouds
201,Broken Hill,-31.95,141.4333,80.74,18,72,4.74,AU,broken clouds
202,Torata,-17.0769,-70.8433,57.4,91,92,4.12,PE,overcast clouds
203,Kargasok,59.0556,80.8572,6.42,88,7,8.55,RU,clear sky
204,Prieska,-29.6641,22.7474,73.4,19,48,5.41,ZA,scattered clouds
205,Dikson,73.5069,80.5464,22.53,95,100,19.62,RU,light snow
206,Piombino,42.9348,10.5221,59.58,80,98,1.99,IT,overcast clouds
207,Isangel,-19.55,169.2667,83.44,74,70,3.31,VU,broken clouds
208,Nuuk,64.1835,-51.7216,3.81,78,75,11.5,GL,light snow
209,Miles City,46.4083,-105.8406,45.57,49,0,8.05,US,clear sky
210,Vila,42.0304,-8.1588,37.33,87,21,3.58,PT,few clouds
211,Horizontina,-27.6258,-54.3078,73.96,29,59,1.95,BR,broken clouds
212,Jinchang,38.4953,102.1739,21.38,24,0,0.4,CN,clear sky
213,Nikolskoye,59.7035,30.7861,26.71,88,100,11.14,RU,overcast clouds
214,Cayenne,4.9333,-52.3333,76.08,92,89,0.0,GF,overcast clouds
215,Whitehorse,60.7161,-135.0538,21.09,85,99,4.0,CA,overcast clouds
216,Ixtapa,20.7,-105.2,74.43,78,0,3.44,MX,clear sky
217,Sunndalsora,62.6754,8.5515,34.45,95,100,9.06,NO,light snow
218,Troitskoye,52.9821,84.6757,-5.15,98,16,5.06,RU,few clouds
219,Tuatapere,-46.1333,167.6833,64.81,43,64,5.21,NZ,broken clouds
220,Kawambwa,-9.7915,29.0791,58.42,97,100,1.63,ZM,overcast clouds
